CustomerID,Name,Email,Phone
CS001,Customer101,customer101@mail.com,08101567891
CS002,Customer102,customer102@mail.com,08102567892
CS003,Customer103,customer103@mail.com,08103567893
CS004,Customer104,customer104@mail.com,08104567894
CS005,Customer105,customer105@mail.com,08105567895
CS006,Customer106,customer106@mail.com,08106567896
CS007,Customer107,customer107@mail.com,08107567897
CS008,Customer108,customer108@mail.com,08108567898
CS009,Customer109,customer109@mail.com,08109567899
CS010,Customer110,customer110@mail.com,08110567890
CS011,Customer111,customer111@mail.com,08111567891
CS012,Customer112,customer112@mail.com,08112567892
CS013,Customer113,customer113@mail.com,08113567893
CS014,Customer114,customer114@mail.com,08114567894
CS015,Customer115,customer115@mail.com,08115567895
CS016,Customer116,customer116@mail.com,08116567896
CS017,Customer117,customer117@mail.com,08117567897
CS018,Customer118,customer118@mail.com,08118567898
CS019,Customer119,customer119@mail.com,08119567899
CS020,Customer120,customer120@mail.com,08120567890
CS021,Customer121,customer121@mail.com,08121567891
CS022,Customer122,customer122@mail.com,08122567892
CS023,Customer123,customer123@mail.com,08123567893
CS024,Customer124,customer124@mail.com,08124567894
CS025,Customer125,customer125@mail.com,08125567895
CS026,Customer126,customer126@mail.com,08126567896
CS027,Customer127,customer127@mail.com,08127567897
CS028,Customer128,customer128@mail.com,08128567898
CS029,Customer129,customer129@mail.com,08129567899
CS030,Customer130,customer130@mail.com,08130567890
CS031,Customer131,customer131@mail.com,08131567891
CS032,Customer132,customer132@mail.com,08132567892
CS033,Customer133,customer133@mail.com,08133567893
CS034,Customer134,customer134@mail.com,08134567894
CS035,Customer135,customer135@mail.com,08135567895
CS036,Customer136,customer136@mail.com,08136567896
CS037,Customer137,customer137@mail.com,08137567897
CS038,Customer138,customer138@mail.com,08138567898
CS039,Customer139,customer139@mail.com,08139567899
CS040,Customer140,customer140@mail.com,08140567890
CS041,Customer141,customer141@mail.com,08141567891
CS042,Customer142,customer142@mail.com,08142567892
CS043,Customer143,customer143@mail.com,08143567893
CS044,Customer144,customer144@mail.com,08144567894
CS045,Customer145,customer145@mail.com,08145567895
CS046,Customer146,customer146@mail.com,08146567896
CS047,Customer147,customer147@mail.com,08147567897
CS048,Customer148,customer148@mail.com,08148567898
CS049,Customer149,customer149@mail.com,08149567899
CS050,Customer150,customer150@mail.com,08150567890
